DATE,MODE,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
02-02-2022,,FUN,0,250,5306.28
07-02-2022,,FUN,0,100,4465.47
07-02-2022,,FUN,0,120,4315.47
07-02-2022,,FUN,0,504,331.47
09-02-2022,,FUN,0,180,115.47
17-02-2022,,FUN,0,120,4101.47
19-02-2022,,FUN,0,180,3396.47
25-02-2022,,FUN,0,160,2139.47
28-02-2022,,FUN,0,200,2809.47
01-02-2022,,GENRAL LEISURE,0,10,5566.28
02-02-2022,,GENRAL LEISURE,0,10,5556.28
03-02-2022,,GENRAL LEISURE,0,12,2642.47
03-02-2022,,GENRAL LEISURE,0,12,2630.47
04-02-2022,,GENRAL LEISURE,0,12,2618.47
04-02-2022,,GENRAL LEISURE,0,33,4585.47
04-02-2022,,GENRAL LEISURE,0,20,4565.47
07-02-2022,,GENRAL LEISURE,0,30,4435.47
08-02-2022,,GENRAL LEISURE,0,12,319.47
09-02-2022,,GENRAL LEISURE,0,12,307.47
09-02-2022,,GENRAL LEISURE,0,12,295.47
10-02-2022,,GENRAL LEISURE,0,40,75.47
11-02-2022,,GENRAL LEISURE,0,10,65.47
14-02-2022,,GENRAL LEISURE,0,12,53.47
14-02-2022,,GENRAL LEISURE,0,15,38.47
14-02-2022,,GENRAL LEISURE,0,30,8.47
17-02-2022,,GENRAL LEISURE,0,56,4221.47
21-02-2022,,GENRAL LEISURE,0,1,3395.47
21-02-2022,,GENRAL LEISURE,0,40,5769.47
21-02-2022,,GENRAL LEISURE,0,10,3309.47
21-02-2022,,GENRAL LEISURE,0,60,3249.47
21-02-2022,,GENRAL LEISURE,0,50,3199.47
28-02-2022,,GENRAL LEISURE,0,30,3009.47
02-02-2022,,IDK,0,1525,2953.47
03-02-2022,,IDK,0,649,2654.47
21-02-2022,,IDK,0,50,3359.47
02-02-2022,,INTERNET SERVICE ,0,827.81,4478.47
07-02-2022,,LIC,0,3984,331.47
01-02-2022,,NO SPEND,0,0,5576.28
02-02-2022,,NO SPEND,350,0,3303.47
04-02-2022,,NO SPEND,2000,0,4618.47
07-02-2022,,NO SPEND,504,0,835.47
17-02-2022,,NO SPEND,5419,0,5427.47
21-02-2022,,NO SPEND,14,0,3409.47
21-02-2022,,NO SPEND,2450,0,5809.47
28-02-2022,,NO SPEND,900,0,3039.47
17-02-2022,,REVERSAL,0,500,4927.47
17-02-2022,,REVERSAL,0,650,4277.47
18-02-2022,,REVERSAL,0,525,3576.47
21-02-2022,,REVERSAL,0,2450,3319.47
24-02-2022,,REVERSAL,0,900,2299.47
