DATE,MODE,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
01-01-2022,,NO SPEND,0,0,9231
01-01-2022,NET BANKING,GENRAL LEISURE,0,395,8836
01-01-2022,,GENRAL LEISURE,0,11,8825
01-01-2022,,GENRAL LEISURE,0,70,8755
03-01-2022,BANK CHARGES,BANK CHARGES ,0,29.5,8725.5
03-01-2022,BANK CHARGES,BANK CHARGES ,0,29.5,8696
03-01-2022,BANK CHARGES,BANK CHARGES ,0,29.5,8666.5
03-01-2022,,GENRAL LEISURE,0,60,8606.5
03-01-2022,,FUN,0,1567,7039.5
03-01-2022,,GENRAL LEISURE,0,25,7014.5
03-01-2022,BANK CHARGES,BANK CHARGES,0,18.86,6995.64
03-01-2022,,FUN,0,649,6346.64
03-01-2022,,INTERNET SERVICE,0,742.81,5603.83
03-01-2022,,GENRAL LEISURE,0,100,5503.83
03-01-2022,,GENRAL LEISURE,0,50,5453.83
04-01-2022,,GENRAL LEISURE,0,50,5403.83
04-01-2022,,IDK,0,520,4883.83
06-01-2022,,GENRAL LEISURE,0,45,4838.83
06-01-2022,,GENRAL LEISURE,0,50,4788.83
07-01-2022,,LIC,0,3984,804.83
07-01-2022,,GENRAL LEISURE,0,15,789.83
07-01-2022,,NO SPEND,395,0,1184.83
07-01-2022,,GENRAL LEISURE,0,45,1139.83
10-01-2022,,GENRAL LEISURE,0,40,1099.83
10-01-2022,,GENRAL LEISURE,0,15,1084.83
10-01-2022,,GENRAL LEISURE,0,30,1054.83
10-01-2022,,NO SPEND,10000,0,11054.83
10-01-2022,,REVERSAL,0,10000,1054.83
11-01-2022,,GENRAL LEISURE,0,35,1019.83
12-01-2022,,GENRAL LEISURE,0,50,969.83
12-01-2022,,GENRAL LEISURE,0,32,937.83
13-01-2022,,GENRAL LEISURE,0,28,909.83
13-01-2022,,GENRAL LEISURE,0,23,886.83
13-01-2022,,GENRAL LEISURE,0,97,789.83
14-01-2022,,GENRAL LEISURE,0,35,754.83
14-01-2022,,GENRAL LEISURE,0,60,694.83
15-01-2022,,GENRAL LEISURE,0,10,684.83
15-01-2022,,NO SPEND,12000,0,12684.83
15-01-2022,,REVERSAL,0,12000,684.83
17-01-2022,,GENRAL LEISURE,0,12,672.83
17-01-2022,,GENRAL LEISURE,0,32,640.83
17-01-2022,,FOOD,0,437.55,203.28
18-01-2022,,NO SPEND,1000,0,1203.28
18-01-2022,,REVERSAL,0,1000,203.28
18-01-2022,,GENRAL LEISURE,0,12,191.28
18-01-2022,,GENRAL LEISURE,0,10,181.28
18-01-2022,,GENRAL LEISURE,0,32,149.28
19-01-2022,,GENRAL LEISURE,0,60,89.28
19-01-2022,,GENRAL LEISURE,0,20,69.28
20-01-2022,,GENRAL LEISURE,0,12,57.28
21-01-2022,,GENRAL LEISURE,0,12,45.28
21-01-2022,,GENRAL LEISURE,0,32,13.28
24-01-2022,,GENRAL LEISURE,0,10,3.28
31-01-2022,,NO SPEND,15372,0,15375.28
31-01-2022,,REVERSAL,0,7800,7575.28
31-01-2022,,NO SPEND,5500,0,13075.28
31-01-2022,,IDK,0,499,12576.28
31-01-2022,,REVERSAL,0,2000,10576.28
31-01-2022,,REVERSAL,0,5000,5576.28
